equity_curve,predicted,actual
9899.88997,buy,buy
9800.78214181066,buy,buy
9702.666482386647,buy,buy
9605.533059123474,buy,buy
9509.37203885199,buy,buy
9414.173686842927,buy,buy
9319.92836582142,buy,buy
9226.626534991397,buy,buy
9134.258749069719,buy,buy
9042.815657330006,buy,buy
8952.288002656029,buy,buy
8862.666620604576,buy,buy
8773.942438477703,buy,buy
8686.106474404276,buy,buy
8599.149836430695,buy,buy
8513.063721620738,buy,buy
8427.8394151644,buy,buy
8343.468289495671,buy,buy
8259.941803419126,buy,buy
8177.251501245271,buy,buy
8095.389011934551,buy,buy
8014.346048249907,buy,buy
7934.114405917839,buy,buy
7854.685962797852,buy,buy
7776.052678060225,buy,buy
7698.206591372006,buy,buy
7621.1398220911615,buy,buy
7544.844568468788,buy,buy
7469.313106859313,buy,buy
7394.537790938605,buy,buy
7320.511050929906,buy,buy
7247.225392837513,buy,buy
7174.6733976881405,buy,buy
7102.847720779864,buy,buy
7031.7410909385935,buy,buy
6961.346309781984,buy,buy
6891.656250990718,buy,buy
6822.663859587081,buy,buy
6754.362151220763,buy,buy
6686.744211461805,buy,buy
6619.803195100629,buy,buy
6553.532325455067,buy,buy
6487.924893684339,buy,buy
6422.97425810989,buy,buy
6358.673843543029,buy,buy
6295.0171406192985,buy,buy
6231.997705139507,buy,buy
6169.609157417362,buy,buy
6107.84518163363,buy,buy
6046.69952519676,buy,buy
5986.1659981099165,buy,buy
5926.23847234434,buy,buy
5866.910881218985,buy,buy
5808.177218786369,buy,buy
5750.031539224567,buy,buy
5692.467956235295,buy,buy
5635.480642448019,buy,buy
5579.063828830031,buy,buy
5523.211804102421,buy,buy
5467.918914161916,buy,buy
5413.179561508485,buy,buy
5358.988204678684,buy,buy
5305.339357684681,buy,buy
5252.227589458882,buy,buy
5199.6475233041265,buy,buy
5147.593836349386,buy,buy
5096.061259010911,buy,buy
5045.04457445877,buy,buy
4994.538618088729,buy,buy
4944.538276999427,buy,buy
4895.03848947477,buy,buy
4846.034244471523,buy,buy
4797.520581112016,buy,buy
4749.492588181942,buy,buy
4701.9454036331745,buy,buy
4654.8742140915665,buy,buy
4608.274254369673,buy,buy
4562.140806984356,buy,buy
4516.469201679212,buy,buy
4471.254814951794,buy,buy
4426.493069585547,buy,buy
4382.179434186447,buy,buy
4338.309422724268,buy,buy
4294.878594078447,buy,buy
4251.882551588492,buy,buy
4209.316942608892,buy,buy
4167.177458068483,buy,buy
4125.4598320342275,buy,buy
4084.1598412793533,buy,buy
4043.273304855826,buy,buy
4002.7960836710945,buy,buy
3962.7240800690747,buy,buy
3923.053237415331,buy,buy
3883.779539686406,buy,buy
3844.899011063267,buy,buy
3806.407715528816,buy,buy
3768.3017564694337,buy,buy
3730.577276280513,buy,buy
3693.2304559759373,buy,buy
3656.2575148014707,buy,buy
3619.6547098520205,buy,buy
3583.418335692728,buy,buy
3547.544723983853,buy,buy
3512.0302431094165,buy,buy
3476.8712978095573,buy,buy
3442.064328816572,buy,buy
3407.605812494596,buy,buy
3373.4922604828953,buy,buy
3339.7202193427242,buy,buy
3306.2862702077236,buy,buy
3273.187028437815,buy,buy
3240.419143276563,buy,buy
3207.979297511964,buy,buy
3175.864207140634,buy,buy
3144.0706210353565,buy,buy
3112.5953206159597,buy,buy
3081.4351195234876,buy,buy
3050.5868632976326,buy,buy
3020.0474290573993,buy,buy
2989.8137251849635,buy,buy
2959.8826910126954,buy,buy
2930.251296513319,buy,buy
2900.9165419931705,buy,buy
2871.8754577885275,buy,buy
2843.12510396498,buy,buy
2814.6625700198115,buy,buy
2786.4849745873553,buy,buy
2758.5894651473063,buy,buy
2730.9732177359483,buy,buy
2703.633436660274,buy,buy
2676.567354214968,buy,buy
2649.77223040222,buy,buy
2623.245352654347,buy,buy
2596.984035559188,buy,buy
2570.985620588253,buy,buy
2545.247475827587,buy,buy
2519.766995711335,buy,buy
2494.541600757968,buy,buy
2469.568737309155,buy,buy
2444.845877271247,buy,buy
2420.370517859347,buy,buy
2396.140181343945,buy,buy
2372.1524148000904,buy,buy
2348.4047898590693,buy,buy
2324.894902462576,buy,buy
2301.6203726193385,buy,buy
2278.5788441641853,buy,buy
2255.767984519521,buy,buy
2233.185484459192,buy,buy
2210.8290578747146,buy,buy
2188.696441543844,buy,buy
2166.785394901459,buy,buy
2145.093699812744,buy,buy
2123.6191603486377,buy,buy
2102.35960256353,buy,buy
2081.312874275188,buy,buy
2060.4768448468803,buy,buy
2039.8494049716876,buy,buy
2019.4284664589677,buy,buy
1999.2119620229616,buy,buy
1979.197845073514,buy,buy
1959.3840895088895,buy,buy
1939.7686895106638,buy,buy
1920.3496593406664,buy,buy
1901.125033139958,buy,buy
1882.0928647298188,buy,buy
1863.25122741473,buy,buy
1844.5982137873275,buy,buy
1826.131935535308,buy,buy
1807.8505232502682,buy,buy
1789.7521262384582,buy,buy
1771.8349123334287,buy,buy
1754.097067710554,buy,buy
1736.5367967034124,buy,buy
1719.1523216220041,buy,buy
1701.9418825727894,buy,buy
1684.9037372805276,buy,buy
1668.036160911901,buy,buy
1651.3374459009035,buy,buy
1634.8059017759772,buy,buy
1618.4398549888801,buy,buy
1602.2376487452668,buy,buy
1586.197642836965,buy,buy
1570.3182134759313,buy,buy
1554.597753129869,buy,buy
1539.0346703594926,buy,buy
1523.6273896574196,buy,buy
1508.374351288677,buy,buy
1493.274011132803,buy,buy
1478.3248405275306,buy,buy
1463.525326114035,buy,buy
1448.8739696837313,buy,buy
1434.3692880266055,buy,buy
1420.0098127810634,buy,buy
1405.7940902852827,buy,buy
1391.7206814300544,buy,buy
1377.788161513096,buy,buy
1363.9951200948237,buy,buy
1350.3401608555691,buy,buy
1336.8219014542235,buy,buy
1323.4389733882995,buy,buy
1310.1900218553924,buy,buy
1297.073705616028,buy,buy
1284.088696857885,buy,buy
1271.2336810613747,buy,buy
1258.5073568665682,buy,buy
1245.9084359414549,buy,buy
1233.4356428515196,buy,buy
1221.0877149306261,buy,buy
1208.8634021531925,buy,buy
1196.7614670076466,buy,buy
1184.7806843711487,buy,buy
1172.919841385567,buy,buy
1161.1777373346965,buy,buy
1149.5531835227057,buy,buy
1138.0450031538003,buy,buy
1126.6520312130926,buy,buy
1115.3731143486623,buy,buy
1104.2071107547986,buy,buy
1093.152890056411,buy,buy
1082.2093331945975,buy,buy
1071.3753323133585,buy,buy
1060.6497906474435,buy,buy
1050.0316224113226,buy,buy
1039.519752689268,buy,buy
1029.1131173265364,buy,buy
1018.8106628216411,buy,buy
1008.6113462197017,buy,buy
998.5141350068621,buy,buy
988.5180070057661,buy,buy
978.6219502720774,buy,buy
968.8249629920377,buy,buy
959.1260533810496,buy,buy
949.5242395832737,buy,buy
940.0185495722328,buy,buy
930.6080210524095,buy,buy
921.2917013618298,buy,buy
912.0686473756215,buy,buy
902.9379254105382,buy,buy
893.8986111304396,buy,buy
884.9497894527169,buy,buy
876.0905544556564,buy,buy
867.3200092867291,buy,buy
858.6372660717997,buy,buy
850.041445825243,buy,buy
841.5316783609622,buy,buy
833.1071022042956,buy,buy
824.7668645048071,buy,buy
816.5101209499489,buy,buy
808.3360356795887,buy,buy
800.2437812013923,buy,buy
792.2325383070538,buy,buy
784.3014959893643,buy,buy
776.4498513601103,buy,buy
768.6768095687947,buy,buy
760.9815837221711,buy,buy
753.3633948045837,buy,buy
745.8214715991048,buy,buy
738.3550506094617,buy,buy
730.9633759827452,buy,buy
723.6456994328918,buy,buy
716.401280164932,buy,buy
709.2293847999971,buy,buy
702.1292873010761,buy,buy
695.1002688995172,buy,buy
688.1416180222634,buy,buy
681.2526302198177,buy,buy
674.4326080949292,buy,buy
667.6808612319929,buy,buy
660.9967061271569,buy,buy
654.3794661191279,buy,buy
647.8284713206709,buy,buy
641.3430585507942,buy,buy
634.9225712676131,buy,buy
628.5663595018852,buy,buy
622.2737797912127,buy,buy
616.0441951149015,buy,buy
609.8769748294736,buy,buy
603.7714946048249,buy,buy
597.7271363610215,buy,buy
591.7432882057299,buy,buy
585.8193443722724,buy,buy
579.9547051583036,buy,buy
574.1487768650996,buy,buy
568.4009717374568,buy,buy
562.7107079041901,buy,buy
557.0774093192292,buy,buy
551.5005057033022,buy,buy
545.9794324862049,buy,buy
540.5136307496473,buy,buy
535.1025471706716,buy,buy
529.7456339656384,buy,buy
524.4423488347715,buy,buy
519.1921549072595,buy,buy
513.9945206869064,buy,buy
508.8489199983262,buy,buy
503.7548319336762,buy,buy
498.7117407999237,buy,buy
493.71913606664043,buy,buy
488.77651231431986,buy,buy
483.88336918321164,buy,buy
479.0392113226684,buy,buy
474.24354834099955,buy,buy
469.4958947558272,buy,buy
464.7957699449389,buy,buy
460.14269809763283,buy,buy
455.53620816654933,buy,buy
450.9758338199854,buy,buy
446.461113394686,buy,buy
441.99158984910844,buy,buy
437.5668107171542,buy,buy
433.18632806236434,buy,buy
428.849698432573,buy,buy
424.55648281501544,buy,buy
420.30624659188487,buy,buy
416.09855949633476,buy,buy
411.9329955689213,buy,buy
407.8091331144818,buy,buy
403.72655465944536,buy,buy
399.68484690956996,buy,buy
395.6836007081037,buy,buy
391.72241099436405,buy,buy
387.80087676273223,buy,buy
383.9186010220579,buy,buy
380.07519075547026,buy,buy
376.27025688059166,buy,buy
372.5034142101493,buy,buy
368.7742814129812,buy,buy
365.08248097543304,buy,buy
361.42763916314055,buy,buy
357.80938598319545,buy,buy
354.22735514668955,buy,buy
350.68118403163396,buy,buy
347.17051364624973,buy,buy
343.6949885926256,buy,buy
340.25425703073984,buy,buy
336.8479706428423,buy,buy
333.4757845981929,buy,buy
330.137357518153,buy,buy
326.8323514416267,buy,buy
323.56043179084753,buy,buy
320.32126733750806,buy,buy
317.1145301692285,buy,buy
313.93989565636076,buy,buy
310.79704241912526,buy,buy
307.6856522950763,buy,buy
304.6054103068933,buy,buy
301.5560046304948,buy,buy
298.5371265634709,buy,buy
295.5484704938326,buy,buy
292.5897338690734,buy,buy
289.66061716554094,buy,buy
286.76082385811486,buy,buy
283.8900603901888,buy,buy
281.04803614395246,buy,buy
278.2344634109712,buy,buy
275.4490573630606,buy,buy
272.6915360234518,buy,buy
269.96162023824644,buy,buy
267.2590336481565,buy,buy
264.5835026605277,buy,buy
261.93475642164265,buy,buy
259.31252678930133,buy,buy
256.71654830567604,buy,buy
254.14655817043828,buy,buy
251.60229621415436,buy,buy
249.08350487194758,buy,buy
246.589929157424,buy,buy
244.12131663685923,buy,buy
241.6774174036437,buy,buy
239.25798405298355,buy,buy
236.8627716568552,buy,buy
234.4915377392101,buy,buy
232.14404225142823,buy,buy
229.82004754801704,buy,buy
227.5193183625537,buy,buy
225.2416217838682,buy,buy
222.98672723246503,buy,buy
220.75440643718065,buy,buy
218.54443341207482,buy,buy
216.35658443355325,buy,buy
214.1906380177192,buy,buy
212.04637489795192,buy,buy
209.9235780027094,buy,buy
207.82203243355355,buy,buy
205.74152544339515,buy,buy
203.68184641495674,buy,buy
201.64278683945108,buy,buy
199.62414029547298,buy,buy
197.62570242810258,buy,buy
195.64727092821775,buy,buy
193.68864551201355,buy,buy
191.74962790072684,buy,buy
189.83002180056377,buy,buy
187.92963288282826,buy,buy
186.04826876424937,buy,buy
184.18573898750566,buy,buy
182.3418550019445,buy,buy
180.51643014449448,buy,buy
178.70927962076865,buy,buy
176.9202204863573,buy,buy
175.14907162830772,buy,buy
173.39565374678952,buy,buy
171.65978933694345,buy,buy
169.94130267091194,buy,buy
168.24001978004952,buy,buy
166.5557684373114,buy,buy
164.88837813981817,buy,buy
163.2376800915953,buy,buy
161.6035071864853,buy,buy
159.98569399123087,buy,buy
158.3840767287276,buy,buy
156.79849326144407,buy,buy
155.22878307500827,buy,buy
153.67478726195802,buy,buy
152.13634850565418,buy,buy
150.61331106435503,buy,buy
149.10552075544985,buy,buy
147.61282493985047,buy,buy
146.13507250653916,buy,buy
144.67211385727097,buy,buy
143.2238008914295,buy,buy
141.789986991034,buy,buy
140.3705270058968,buy,buy
138.9652772389292,buy,buy
137.57409543159443,buy,buy
136.19684074950646,buy,buy
134.83337376817263,buy,buy
133.48355645887935,buy,buy
132.14725217471883,buy,buy
130.82432563675596,buy,buy
129.51464292033342,buy,buy
128.21807144151404,buy,buy
126.93447994365883,buy,buy
125.66373848413942,buy,buy
124.40571842118348,buy,buy
123.16029240085186,buy,buy
121.92733434414605,buy,buy
120.7067194342448,buy,buy
119.49832410386843,buy,buy
118.30202602276962,buy,buy
117.1177040853496,buy,buy
115.94523839839806,buy,buy
